Linux 3.10.0-514.26.2.el7.x86_64 (ip-10-0-1-10) 	01/08/17 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:40:01        all      7.91      0.00      7.51      0.00      0.34      0.00      0.02      0.00      0.00     84.22
03:40:01          0      7.83      0.00      7.43      0.00      0.33      0.00      0.01      0.00      0.00     84.41
03:40:01          1      7.98      0.00      7.60      0.00      0.34      0.00      0.04      0.00      0.00     84.03

03:40:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:50:01        all      7.96      0.00      7.58      0.00      0.34      0.00      0.03      0.00      0.00     84.10
03:50:01          0      7.82      0.00      7.47      0.00      0.33      0.00      0.00      0.00      0.00     84.37
03:50:01          1      8.10      0.00      7.68      0.00      0.34      0.00      0.05      0.00      0.00     83.83
04:00:01        all      8.11      0.00      7.64      0.00      0.33      0.00      0.02      0.00      0.00     83.89
04:00:01          0      7.99      0.00      7.49      0.00      0.33      0.00      0.00      0.00      0.00     84.18
04:00:01          1      8.23      0.00      7.80      0.00      0.34      0.00      0.05      0.00      0.00     83.60
04:10:01        all      8.05      0.00      7.61      0.00      0.33      0.00      0.02      0.00      0.00     83.98
04:10:01          0      7.86      0.00      7.42      0.00      0.33      0.00      0.00      0.00      0.00     84.39
04:10:01          1      8.24      0.00      7.81      0.00      0.34      0.00      0.05      0.00      0.00     83.57
04:20:01        all      8.00      0.00      7.61      0.00      0.33      0.00      0.02      0.00      0.00     84.04
04:20:01          0      7.87      0.00      7.45      0.00      0.33      0.00      0.00      0.00      0.00     84.35
04:20:01          1      8.12      0.00      7.76      0.00      0.34      0.00      0.05      0.00      0.00     83.73
04:30:01        all      7.85      0.00      7.52      0.00      0.34      0.00      0.02      0.00      0.00     84.27
04:30:01          0      7.65      0.00      7.27      0.00      0.33      0.00      0.00      0.00      0.00     84.75
04:30:01          1      8.06      0.00      7.77      0.00      0.34      0.00      0.05      0.00      0.00     83.78
04:40:01        all      7.97      0.00      7.65      0.00      0.34      0.00      0.02      0.00      0.00     84.02
04:40:01          0      7.85      0.00      7.57      0.00      0.33      0.00      0.00      0.00      0.00     84.24
04:40:01          1      8.08      0.00      7.73      0.00      0.34      0.00      0.05      0.00      0.00     83.80
04:50:01        all      8.10      0.00      7.70      0.00      0.34      0.00      0.03      0.00      0.00     83.84
